team 1,team 2,original team 1 score,original team 2 score,original winner,team 1 threes,team 2 threes,adjusted team 1 score,adjusted team 2 score,adjusted winner
Houston,Tulsa,64,65,Tulsa,4,7,60,58,Houston
Houston,SMU,74,60,Houston,7,6,67,54,Houston
Wichita State,Houston,63,70,Houston,8,7,55,63,Houston
Tulane,Houston,50,71,Houston,6,15,44,56,Houston
UCF,Houston,58,75,Houston,4,8,54,67,Houston
Tulsa,Houston,59,86,Houston,7,13,52,73,Houston
Houston,Temple,68,51,Houston,9,5,59,46,Houston
Houston,Tulane,83,60,Houston,13,4,70,56,Houston
SMU,Houston,48,70,Houston,2,8,46,62,Houston
Our Lady of the Lake,Houston,46,112,Houston,3,15,43,97,Houston
Houston,South Florida,82,65,Houston,8,6,74,59,Houston
Houston,Wichita State,63,68,Wichita State,8,10,55,58,Wichita State
Western Kentucky,Houston,57,81,Houston,4,13,53,68,Houston
South Florida,Houston,52,98,Houston,7,15,45,83,Houston
Saint Mary's,Memphis,56,73,Memphis,1,7,55,66,Memphis
Western Kentucky,Memphis,75,69,Western Kentucky,8,9,67,60,Western Kentucky
VCU,Memphis,70,59,VCU,7,6,63,53,VCU
Arkansas State,Memphis,54,83,Memphis,5,6,49,77,Memphis
Central Arkansas,Memphis,68,85,Memphis,9,9,59,76,Memphis
Mississippi Valley State,Memphis,57,94,Memphis,12,6,45,88,Memphis
Memphis,Auburn,71,74,Auburn,6,6,65,68,Auburn
Memphis,Tulane,80,74,Memphis,8,7,72,67,Memphis
Tulsa,Memphis,56,49,Tulsa,5,5,51,44,Tulsa
South Florida,Memphis,57,58,Memphis,7,4,50,54,Memphis
Memphis,Tulsa,57,58,Tulsa,4,3,53,55,Tulsa
Wichita State,Memphis,52,72,Memphis,2,11,50,61,Memphis
SMU,Memphis,72,76,Memphis,11,10,61,66,Memphis
Memphis,SMU,65,67,SMU,9,5,56,62,SMU
UCF,Memphis,69,96,Memphis,8,13,61,83,Memphis
UCF,Memphis,61,75,Memphis,4,3,57,72,Memphis
East Carolina,Memphis,59,66,Memphis,1,8,58,58,Memphis
Tulane,Memphis,46,61,Memphis,2,5,44,56,Memphis
Sam Houston State,SMU,67,97,SMU,8,11,59,86,SMU
Texas A&M-CC,SMU,54,91,SMU,6,10,48,81,SMU
Houston Baptist,SMU,75,102,SMU,12,8,63,94,SMU
SMU,Dayton,66,64,SMU,6,5,60,59,SMU
SMU,Temple,79,71,SMU,8,9,71,62,SMU
Temple,SMU,68,79,SMU,8,11,60,68,SMU
SMU,UCF,78,65,SMU,6,8,72,57,SMU
SMU,Tulsa,65,63,SMU,8,4,57,59,Tulsa
Florida College,South Florida,84,94,South Florida,11,9,73,85,South Florida
Rhode Island,South Florida,84,68,Rhode Island,4,4,80,64,Rhode Island
South Florida,Virginia Tech,58,76,Virginia Tech,3,5,55,71,Virginia Tech
Wofford,South Florida,56,58,South Florida,10,4,46,54,South Florida
